mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.26053500175476074,0.022337717622141835,0.02979743480682373,0.0038702881507520987,,10,"{'max_depth': None, 'n_estimators': 10}",0.7991214057507987,0.7985223642172524,0.7949281150159745,0.7981028457314029,0.7976686826788572,0.0016231439526257516,15
1.1804380416870117,0.00511065968753026,0.11274492740631104,0.004022204149028184,,50,"{'max_depth': None, 'n_estimators': 50}",0.803214856230032,0.8027156549520766,0.8041134185303515,0.8038941587618572,0.8034845221185792,0.0005538928794062386,14
2.5674314498901367,0.2472370406241431,0.2657315135002136,0.04848556272762518,,100,"{'max_depth': None, 'n_estimators': 100}",0.8031150159744409,0.8057108626198083,0.8036142172523961,0.8055916125811283,0.8045079271069434,0.0011576211364513018,13
5.69743549823761,0.17367810065529923,0.6472097635269165,0.11699678463169448,,200,"{'max_depth': None, 'n_estimators': 200}",0.8049121405750799,0.8065095846645367,0.8059105431309904,0.8049925112331503,0.8055811949009394,0.0006641837022735084,11
0.14033758640289307,0.009574100687702179,0.01658344268798828,0.0018684507568962952,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.8140974440894568,0.8080071884984026,0.8085063897763578,0.8106839740389415,0.8103237491007896,0.002399988740191798,7
0.6805646419525146,0.019085108635101246,0.06529521942138672,0.0063043637830810266,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.8141972843450479,0.8120007987220448,0.8118011182108626,0.8147778332501248,0.8131942586320201,0.001311388190228327,5
1.4980169534683228,0.07493726602514397,0.13148939609527588,0.008752742158816483,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.8177915335463258,0.8145966453674122,0.8132987220447284,0.8164752870693959,0.8155405470069655,0.001721729424964512,1
2.896917998790741,0.30202178093588355,0.29000020027160645,0.03452027099690428,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.8163937699680511,0.8139976038338658,0.8121006389776357,0.8130803794308538,0.8138930980526016,0.0015919879538331034,4
0.29709392786026,0.04456942249286275,0.03054410219192505,0.0041380877436643934,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.8080071884984026,0.8068091054313099,0.8029153354632588,0.8084872690963555,0.8065547246223317,0.002188278004649129,8
1.2551522254943848,0.08524017023435479,0.1278092861175537,0.016001664931950516,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.8113019169329073,0.8117012779552716,0.8099041533546326,0.8142785821268098,0.8117964825924053,0.0015807741107845615,6
2.16734516620636,0.13711059232194078,0.20819002389907837,0.017468075872776857,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.8131988817891374,0.8157947284345048,0.8128993610223643,0.8157763354967549,0.8144173266856903,0.001372312669106544,2
5.055319964885712,0.34774660809467234,0.43212074041366577,0.04997704161787026,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.8144968051118211,0.8145966453674122,0.8115015974440895,0.8161757363954069,0.8141926960796824,0.0016904228827991912,3
0.33847576379776,0.0662770862350221,0.035965681076049805,0.005324421102879623,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.7962260383386581,0.795926517571885,0.7954273162939297,0.8018971542685971,0.7973692566182675,0.002629706891743782,16
1.329018235206604,0.07403162580932224,0.13451194763183594,0.028433360432635703,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.8057108626198083,0.8060103833865815,0.8045127795527156,0.8046929605591613,0.8052317465295666,0.0006409039356132779,12
2.743901312351227,0.23772338546680047,0.2687339782714844,0.05659549368062809,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.8040135782747604,0.8058107028753994,0.8060103833865815,0.8067898152770844,0.8056561199534564,0.0010164406909499752,10
5.851679027080536,0.24553487833889687,0.5214498043060303,0.04615179442619249,30,200,"{'max_depth': 30, 'n_estimators': 200}",0.8063099041533547,0.8065095846645367,0.8064097444089456,0.8060908637044434,0.8063300242328201,0.00015508048801418046,9
